OrderID	CustomerID	EmployeeID	OrderDate	ShipperID
10248	90	5	1996-07-04	3
10249	81	6	1996-07-05	1
10250	34	4	1996-07-08	2
10251	84	3	1996-07-08	1
10252	76	4	1996-07-09	2
10253	34	3	1996-07-10	2
10254	14	5	1996-07-11	2
10255	68	9	1996-07-12	3
10256	88	3	1996-07-15	2
10257	35	4	1996-07-16	3
10258	20	1	1996-07-17	1
10259	13	4	1996-07-18	3
10260	55	4	1996-07-19	1
10261	61	4	1996-07-19	2
10262	65	8	1996-07-22	3
10263	20	9	1996-07-23	3
10264	24	6	1996-07-24	3
10265	7	2	1996-07-25	1
10266	87	3	1996-07-26	3
10267	25	4	1996-07-29	1
10268	33	8	1996-07-30	3
10269	89	5	1996-07-31	1
10270	87	1	1996-08-01	1
10271	75	6	1996-08-01	2
10272	65	6	1996-08-02	2
10273	63	3	1996-08-05	3
10274	85	6	1996-08-06	1
10275	49	1	1996-08-07	1
10276	80	8	1996-08-08	3
10277	52	2	1996-08-09	3
10278	5	8	1996-08-12	2
10279	44	8	1996-08-13	2
10280	5	2	1996-08-14	1
10281	69	4	1996-08-14	1
10282	69	4	1996-08-15	1
10283	46	3	1996-08-16	3
10284	44	4	1996-08-19	1
10285	63	1	1996-08-20	2
10286	63	8	1996-08-21	3
10287	67	8	1996-08-22	3
10288	66	4	1996-08-23	1
10289	11	7	1996-08-26	3
10290	15	8	1996-08-27	1
10291	61	6	1996-08-27	2
10292	81	1	1996-08-28	2
10293	80	1	1996-08-29	3
10294	65	4	1996-08-30	2
10295	85	2	1996-09-02	2
10296	46	6	1996-09-03	1
10297	7	5	1996-09-04	2
10298	37	6	1996-09-05	2
10299	67	4	1996-09-06	2
10300	49	2	1996-09-09	2
10301	86	8	1996-09-09	2
10302	76	4	1996-09-10	2
10303	30	7	1996-09-11	2
10304	80	1	1996-09-12	2
10305	55	8	1996-09-13	3
10306	69	1	1996-09-16	3
10307	48	2	1996-09-17	2
10308	2	7	1996-09-18	3
10309	37	3	1996-09-19	1
10310	77	8	1996-09-20	2
10311	18	1	1996-09-20	3
10312	86	2	1996-09-23	2
10313	63	2	1996-09-24	2
10314	65	1	1996-09-25	2
10315	38	4	1996-09-26	2
10316	65	1	1996-09-27	3
10317	48	6	1996-09-30	1
10318	38	8	1996-10-01	2
10319	80	7	1996-10-02	3
10320	87	5	1996-10-03	3
10321	38	3	1996-10-03	2
10322	58	7	1996-10-04	3
10323	39	4	1996-10-07	1
10324	71	9	1996-10-08	1
10325	39	1	1996-10-09	3
10326	8	4	1996-10-10	2
10327	24	2	1996-10-11	1
10328	28	4	1996-10-14	3
10329	75	4	1996-10-15	2
10330	46	3	1996-10-16	1
10331	9	9	1996-10-16	1
10332	51	3	1996-10-17	2
10333	87	5	1996-10-18	3
10334	84	8	1996-10-21	2
10335	37	7	1996-10-22	2
10336	60	7	1996-10-23	2
10337	25	4	1996-10-24	3
10338	55	4	1996-10-25	3
10339	51	2	1996-10-28	2
10340	9	1	1996-10-29	3
10341	73	7	1996-10-29	3
10342	25	4	1996-10-30	2
10343	44	4	1996-10-31	1
10344	89	4	1996-11-01	2
10345	63	2	1996-11-04	2
10346	65	3	1996-11-05	3
10347	21	4	1996-11-06	3
10348	86	4	1996-11-07	2
